,title,company,description,employment_type,job_function
0,[HCM] Thực tập sinh Kiểm Soát Viên,Timo Digital Bank,"
          <strong>About Timo<br><br></strong>Everybody dreams of being rich(er) and fears being poor. Timo supports you in achieving this dream. Financially, we support across the 5 functions of money: moving, managing, accessing, growing, and protecting your money. Being rich however means more than just having a lot of money. Enjoying a rich life includes making money more fun and emotional by embedding banking services into your lifestyle and within your social circle to unlock a truly rich life.<br><br><strong>What You Will Be Doing<br><br></strong><ul><li> Receive and process customer requests for document provision (e.g., printing statements, balance confirmation, etc.).</li><li> Deliver documents to staff at TIMO Hangout daily.</li><li> Sort and box documents (service request forms, account opening files, etc.).</li><li> Perform other tasks as assigned by the Team Leader/Manager.<br><br></li></ul><strong>Your Skill And Experience<br><br></strong><ul><li> 3rd or 4th-year university students, available to work full-time or at least 3 days per week.</li><li> Working hours: Monday to Friday, from 8:00 AM to 17:00 PM.<br><br></li></ul><strong>Benefits<br><br></strong><ul><li> Young and dynamic working environment with friendly colleagues.</li><li> Hourly wage of 25,000 VND.</li><li> Parking fee support.</li><li> Participation in company events.</li><li> Internship confirmation support.<br><br></li></ul><strong>Interview Process<br><br></strong>CV Screening → HR phone screen → Face-to-face Interview
        ",Internship,Other
1,AP & Costing Accoutant,XP Power,"
          <strong>About Timo<br><br></strong>Everybody dreams of being rich(er) and fears being poor. Timo supports you in achieving this dream. Financially, we support across the 5 functions of money: moving, managing, accessing, growing, and protecting your money. Being rich however means more than just having a lot of money. Enjoying a rich life includes making money more fun and emotional by embedding banking services into your lifestyle and within your social circle to unlock a truly rich life.<br><br><strong>What You Will Be Doing<br><br></strong><ul><li> Receive and process customer requests for document provision (e.g., printing statements, balance confirmation, etc.).</li><li> Deliver documents to staff at TIMO Hangout daily.</li><li> Sort and box documents (service request forms, account opening files, etc.).</li><li> Perform other tasks as assigned by the Team Leader/Manager.<br><br></li></ul><strong>Your Skill And Experience<br><br></strong><ul><li> 3rd or 4th-year university students, available to work full-time or at least 3 days per week.</li><li> Working hours: Monday to Friday, from 8:00 AM to 17:00 PM.<br><br></li></ul><strong>Benefits<br><br></strong><ul><li> Young and dynamic working environment with friendly colleagues.</li><li> Hourly wage of 25,000 VND.</li><li> Parking fee support.</li><li> Participation in company events.</li><li> Internship confirmation support.<br><br></li></ul><strong>Interview Process<br><br></strong>CV Screening → HR phone screen → Face-to-face Interview
        ",,
2,Chief Risk Officer,Galaxy FinX (Vikki Digital Bank),"
          <strong>About Timo<br><br></strong>Everybody dreams of being rich(er) and fears being poor. Timo supports you in achieving this dream. Financially, we support across the 5 functions of money: moving, managing, accessing, growing, and protecting your money. Being rich however means more than just having a lot of money. Enjoying a rich life includes making money more fun and emotional by embedding banking services into your lifestyle and within your social circle to unlock a truly rich life.<br><br><strong>What You Will Be Doing<br><br></strong><ul><li> Receive and process customer requests for document provision (e.g., printing statements, balance confirmation, etc.).</li><li> Deliver documents to staff at TIMO Hangout daily.</li><li> Sort and box documents (service request forms, account opening files, etc.).</li><li> Perform other tasks as assigned by the Team Leader/Manager.<br><br></li></ul><strong>Your Skill And Experience<br><br></strong><ul><li> 3rd or 4th-year university students, available to work full-time or at least 3 days per week.</li><li> Working hours: Monday to Friday, from 8:00 AM to 17:00 PM.<br><br></li></ul><strong>Benefits<br><br></strong><ul><li> Young and dynamic working environment with friendly colleagues.</li><li> Hourly wage of 25,000 VND.</li><li> Parking fee support.</li><li> Participation in company events.</li><li> Internship confirmation support.<br><br></li></ul><strong>Interview Process<br><br></strong>CV Screening → HR phone screen → Face-to-face Interview
        ",,
3,"Assistant Manager, Finance",PUMA Group,"
          SPEED &amp; SPIRIT is what we look for in our candidates, defined by some simple values that inspire us to BE DRIVEN in our performance, BE VIBRANT in our sporting legacy, BE TOGETHER in our team spirit, and BE YOU to let our individual talent and experience shine. Applying for a job at PUMA is easy and all genders are welcome. Simply click APPLY ONLINE and follow the steps to upload your application.<br><br><strong>YOUR MISSION:<br><br></strong><ul><li>Assist in annual budgeting, quarterly forecasting exercise, and provide analysis on the budget and forecast figures to actual to support any business decision for Retail by stores and Ecommerce by platforms.</li><li>Prepare, monitor, and analyze monthly Puma Retail by stores and Ecommerce by platforms actual results – P&amp;L and balance sheets.</li><li>Review business deal pack for new store opening by giving valuable feedback on the financial analysis to the relevant stakeholders.</li><li>Business partner to relevant stakeholders mainly Retail and Ecommerce operations for daily operations, closing forecasting and budgeting and ensuring overall compliance to finance SOP etc.</li><li>Provide insights &amp; analysis for better business decision-making; partner with business to build and implement initiatives for growth. Overview the cash management and project the funding for operation.</li><li>Analyze financial data to monitor and improve cash flow, reduce costs, and optimize the overall capital efficiency. Manage and verify correctness of account receivable, settlement and VAT or tax related. Manage the daily sales issues to ensure smooth operation.</li><li>Manage and adjust for accounting records in relevant area. Support terminal applications for new store launches or temporary retail events. Support monthly closing for Retail and Ecommerce which includes journal posting, preparation of audit schedules and bank reconciliations.</li><li>Perform IFRS 16 lease accounting on SLAN tool and maintain lease schedule. Perform other duties as assigned – stock counts (store/warehouse), special projects, FA sighting, RBU reporting</li><li>Perform/Lead ad hoc projects for the continuous improvement of Finance Department – SAP system enhancement, Power BI Dashboard, etc <br><br></li></ul><strong>YOUR TALENT:<br><br></strong><ul><li>University Degree in Accounting</li><li>Functional: 5-7 years in Finance and Accounting, industry: Audit Firms and Multinational Companies</li><li>Leadership: 1+ years of supervisory experience (preferred)</li><li>Excel: Advanced, HFM, SAP: working knowledge</li><li>Fluent in English in both written &amp; spoken</li><li>Keen attention to details/quality commitment</li><li>Understand local tax laws, international Financial Accounting Standards,</li><li>Vietnam accounting standards<br><br></li></ul>PUMA supports over 19,000 employees across 120+ countries. The PUMA Group owns the brand PUMA, Cobra Golf and stichd, and is headquartered in Herzogenaurach, Germany.<br><br>PUMA provides equal opportunities for all job applicants, regardless of race, color, religion, national origin, sex, gender identity or expression, sexual orientation, age, or disability. Equality for all is one of the core principles at PUMA and we do not tolerate any form of harassment or discrimination.
        ",Full-time,"Accounting/Auditing, Finance, Analyst"
4,Junior Finance Analyst (FP&A),Energizer Holdings,"
          <ul><li>Be part of something big</li><li>Opportunity for growth and development</li><li>Global well-known brand</li></ul><p><br></p><p><strong>This is Energizer Holdings, Inc.</strong></p><p>Energizer Holdings responsibly creates products to make lives easier and more enjoyable. To do this, we lean into our culture as an organization – we win together, while serving each other, with a willingness to act boldly, all while doing right. Our colleagues hail from all backgrounds, nationalities and walks of life, but our shared mission and purpose make us one team. Because we’re a global organization, you will always have opportunities to learn, grow and develop in your career. We support flexible working arrangements wherever possible.</p><p><br></p><p><strong>Position Summary</strong></p><p>This position is responsible for assisting in the development and analysis of a monthly Commercial forecast. Key Result Areas include achieving results with regards to delivering Commercial Gross Margin plan/forecast through analysis, insight and supporting decision making.</p><p><br></p><p><strong>Responsibilities</strong></p><ul><li>Lead the customer teams during business planning by providing financial and business analysis in collaboration with The TG COE; analyze customer plans to ensure financial expectations are achieved</li><li>Investigate and provide understanding about Market/Cluster Performance, Outlook and Risk profile, through analysis and partnering with Commercial Teams.</li><li>Provide decision support to Commercial Teams to help optimize Energizer’s sales and profit growth</li><li>Manage the Trade Spend funds to optimize ROI and ensure financial objectives are met</li><li>Support delivery of system &amp; process improvements through collaboration with TG COE and engagement with the commercial team.</li></ul><p><br></p><p><strong>What we are looking for</strong></p><ul><li>Bachelor’s Degree or equivalent experience</li><li>Min 3-4 years business experience</li><li>Open, direct, and respectful communication style with excellent oral and written communication skills</li><li>Ability to work under pressure in a fast-paced and changing environment, delivering quality output while adhering to tight deadlines</li><li>Proficient in Microsoft Excel, Word, PowerPoint</li><li>Excellent written and oral skills</li></ul><p><br></p><p><strong>Come join us!</strong></p>
        ",Full-time,Finance
5,Backend Engineers (HCL& ANZ Banking),HCLTech Vietnam,"
          <ul><li>Be part of something big</li><li>Opportunity for growth and development</li><li>Global well-known brand</li></ul><p><br></p><p><strong>This is Energizer Holdings, Inc.</strong></p><p>Energizer Holdings responsibly creates products to make lives easier and more enjoyable. To do this, we lean into our culture as an organization – we win together, while serving each other, with a willingness to act boldly, all while doing right. Our colleagues hail from all backgrounds, nationalities and walks of life, but our shared mission and purpose make us one team. Because we’re a global organization, you will always have opportunities to learn, grow and develop in your career. We support flexible working arrangements wherever possible.</p><p><br></p><p><strong>Position Summary</strong></p><p>This position is responsible for assisting in the development and analysis of a monthly Commercial forecast. Key Result Areas include achieving results with regards to delivering Commercial Gross Margin plan/forecast through analysis, insight and supporting decision making.</p><p><br></p><p><strong>Responsibilities</strong></p><ul><li>Lead the customer teams during business planning by providing financial and business analysis in collaboration with The TG COE; analyze customer plans to ensure financial expectations are achieved</li><li>Investigate and provide understanding about Market/Cluster Performance, Outlook and Risk profile, through analysis and partnering with Commercial Teams.</li><li>Provide decision support to Commercial Teams to help optimize Energizer’s sales and profit growth</li><li>Manage the Trade Spend funds to optimize ROI and ensure financial objectives are met</li><li>Support delivery of system &amp; process improvements through collaboration with TG COE and engagement with the commercial team.</li></ul><p><br></p><p><strong>What we are looking for</strong></p><ul><li>Bachelor’s Degree or equivalent experience</li><li>Min 3-4 years business experience</li><li>Open, direct, and respectful communication style with excellent oral and written communication skills</li><li>Ability to work under pressure in a fast-paced and changing environment, delivering quality output while adhering to tight deadlines</li><li>Proficient in Microsoft Excel, Word, PowerPoint</li><li>Excellent written and oral skills</li></ul><p><br></p><p><strong>Come join us!</strong></p>
        ",,
6,Backend Technical Lead (HCL& ANZ Banking),HCLTech Vietnam,"
          <ul><li>Be part of something big</li><li>Opportunity for growth and development</li><li>Global well-known brand</li></ul><p><br></p><p><strong>This is Energizer Holdings, Inc.</strong></p><p>Energizer Holdings responsibly creates products to make lives easier and more enjoyable. To do this, we lean into our culture as an organization – we win together, while serving each other, with a willingness to act boldly, all while doing right. Our colleagues hail from all backgrounds, nationalities and walks of life, but our shared mission and purpose make us one team. Because we’re a global organization, you will always have opportunities to learn, grow and develop in your career. We support flexible working arrangements wherever possible.</p><p><br></p><p><strong>Position Summary</strong></p><p>This position is responsible for assisting in the development and analysis of a monthly Commercial forecast. Key Result Areas include achieving results with regards to delivering Commercial Gross Margin plan/forecast through analysis, insight and supporting decision making.</p><p><br></p><p><strong>Responsibilities</strong></p><ul><li>Lead the customer teams during business planning by providing financial and business analysis in collaboration with The TG COE; analyze customer plans to ensure financial expectations are achieved</li><li>Investigate and provide understanding about Market/Cluster Performance, Outlook and Risk profile, through analysis and partnering with Commercial Teams.</li><li>Provide decision support to Commercial Teams to help optimize Energizer’s sales and profit growth</li><li>Manage the Trade Spend funds to optimize ROI and ensure financial objectives are met</li><li>Support delivery of system &amp; process improvements through collaboration with TG COE and engagement with the commercial team.</li></ul><p><br></p><p><strong>What we are looking for</strong></p><ul><li>Bachelor’s Degree or equivalent experience</li><li>Min 3-4 years business experience</li><li>Open, direct, and respectful communication style with excellent oral and written communication skills</li><li>Ability to work under pressure in a fast-paced and changing environment, delivering quality output while adhering to tight deadlines</li><li>Proficient in Microsoft Excel, Word, PowerPoint</li><li>Excellent written and oral skills</li></ul><p><br></p><p><strong>Come join us!</strong></p>
        ",,
7,AP & Bank Payment Accountant,Nextern,"
          <em>Nextern, an US based innovator in developing and manufacturing class II &amp; III electro-mechanical medical devices is seeking an </em><em><strong>AP &amp; Bank Payment Accountant</strong></em><em> for its Binh Duong, Vietnam location.<br><br></em><strong>System and Report<br><br></strong><ul><li>Post and process journal entries to ensure all transactions are recorded into Epicor system</li><li>Update accounts receivable and issue sale invoices</li><li>Create all bank payment process and file documentations</li><li>Reconcile and accrue monthly expenses</li><li>Update weekly cashflow report</li><li>Update financial data in databases to ensure information accurate and available when needed</li><li>Prepare and submit monthly, quarterly tax reports</li><li>Assist senior accountants in the preparation of monthly/yearly closings</li><li>Checking and review the accuracy of invoice and payment documentation with compliance</li><li>Other task as assignment<br><br><br></li></ul><strong>Management Company Asset<br><br></strong><ul><li>Record and file document for fixed asset when any increase<br><br><br></li></ul><strong>Work with external parties<br><br></strong><ul><li>Work with the auditors, tax officers, finance department on all the subjects that involve with audit reports and support external and internal auditors<br><br><br></li></ul><strong>Management skill<br><br></strong><ul><li>Report directly to General Accountant and Finance Manager</li><li>Other jobs assigned by Supervisor and Manager. Support the colleague when it is necessary<br><br><br></li></ul><strong>Requirements<br><br></strong><ul><li>Qualification: graduated from university</li><li>Main course: Accounting, Auditing, Finance </li><li>Computer skill: Well of MS Office, accounting software (Epicor is advantage) </li><li>Foreign language Skill: English base (Writing, Speaking)</li><li>Experience: At least 2 years in same position</li><li>Knowledge of Occupation: General knowledge about Economic-social, ability of collect, analyse data exactly and solve problem immediately. </li><li>Public Skill: Confident, open-mind, good communication skill, honestly, outspoken, careful<br><br><br></li></ul><strong>Benefits<br><br></strong><ul><li>Competitive salary</li><li>Professional and Friendly Working Environment, chance to attend employee's training and development programs</li><li>Premium healthcare Insurance (In Vietnam) &amp; Business travel insurance</li><li>Health, social &amp; unemployment insurance (following Government regulation)</li><li>Company trip, New Year party, Team building</li><li>Occasion-based offerings: Birthday, New year, Mid autumn..</li></ul>
        ",Full-time,Finance
8,"HO - Giám đốc Phát triển sản phẩm thế chấp, Khối bán lẻ",Orient Commercial Joint Stock Bank (OCB),"
          <strong>I. MÔ TẢ CÔNG VIỆC:<br><br></strong><ul><li> Thiết kế phát triển sản phẩm/ chương trình cho vay thế chấp phụ trách phù hợp với nhu cầu của khách hàng bán lẻ và nhu cầu thị trường theo từng thời kỳ. </li><li> Cải tiến và duy trì các sản phẩm/ chương trình cho vay tín chấp phụ trách có hiệu quả dựa trên cơ sở phân tích hiệu quả tài chính cũng như thông tin phản hồi của khách hàng và của đơn vị kinh doanh. </li><li> Xây dựng, hướng dẫn và triển khai thực hiện các quy trình, quy định của sản phẩm phụ trách.Đào tạo cho Đơn vị kinh doanh về sản phẩm, quy trình cho vay thuộc trách nhiệm phụ trách. </li><li> Tư vấn, giải quyết các khó khăn vướng mắc của Đơn vị kinh doanh liên quan đến giá, chính sách và định hướng bán hàng, nghiệp vụ, hệ thống,…</li><li> Phối hợp với các Đơn vị trong Khối RB triển khai các chương trình khuyến mãi, thi đua và kế hoạch truyền thông;</li><li> Phối hợp với các Đơn vị trong và ngoài Khối RB xây dựng quy trình phê duyệt và bán sản phẩm cho vay; quy trình thực hiện trên các chương trình, ứng dụng quản lý. </li><li> Nhận diện, đánh giá và quản lý các rủi ro phát sinh thuộc phạm vi hoạt động của sản phẩm/ chương trình cho vay tiêu dùng. </li><li> Đảm bảo hoàn thành chỉ tiêu KPI được giao đối với sản phẩm/ chương trình đang phụ trách. </li><li> Lập các báo cáo có liên quan và thực hiện các công việc khác theo sự phân công của cấp trên. <br><br></li></ul><strong>II. YÊU CẦU CÔNG VIỆC:<br><br></strong><ul><li> Tốt nghiệp Đại học trở lên chuyên ngành Tài chính – Ngân hàng, Quản Trị Kinh Doanh, Marketing, Ngoại Thương hoặc các ngành liên quan. </li><li> Ưu tiên có tối thiểu 05 năm kinh nghiệm trong mảng tín dụng cá nhân (Sale, PTSP), am hiểu sản phẩm tín dụng (đặc biệt là cho vay SXKD), ứng viên đã có kinh nghiệm làm vị trí PTSP Top 5 NHTMCP là một lợi thế. </li><li> Am hiểu về thị trường, đối thủ cạnh tranh cũng như phân khúc khách hàng trọng tâm. </li><li> Kĩ năng phân tích, nắm bắt thông tin nhanh và xử lý thông tin hiệu quả. </li><li> Kĩ năng nắm bắt vấn đề nhanh, khả năng viết lách và quản lý công việc tốt. </li><li> Khả năng chịu được áp lực, giao tiếp, trình bày cũng như làm việc nhóm tốt. <br><br></li></ul><strong>Gửi CV ứng tuyển hoặc liên lạc Ms Phương - Zalo/SMS/Call 0969154339 - phuongnth15@ocb.com.vn để được tư vấn và hỗ trợ tuyển dụng.</strong>
        ",Full-time,Product Management
9,Finance & Accounting Manager,"Money Forward Vietnam Co., Ltd","
          <p><strong>JOB DESCRIPTION</strong></p><ul><li>Develop and manage annual and multi-year budgets that are adequate for the organization’s needs including preparation of periodic budget forecasts</li><li>Prepare and maintain cash flow analyses as needed</li><li>Analyze monthly financial statements (balance sheet, income statement, and statement of cash flows) and effectively convey analysis to staff as requested</li><li>Assist in preparing year-end books for audit</li><li>Ensure operational compliance with policies, procedures and regulations for any necessary entities</li><li>Process vendor payments and check requests</li><li>Process employee reimbursements including managing credit card charges and reconcile credit card accounts</li><li>Reconcile bank accounts and general ledger accounts as assigned</li><li>Respond to inquiries from staff regarding budgets, deposits, disbursement and grant reporting requests.</li><li>Assist in reconciling all balance sheet and income statement accounts on a monthly/quarterly basis as indicated by the monthly closing schedule.</li><li>Manage cross functional F&amp;A team (HN &amp; HCM) with 2 members.</li></ul><p><br></p><p><strong>REQUIREMENTS</strong></p><ul><li>Expertise in Excel and QuickBooks and superb attention to detail</li><li>Degree in finance, accounting, or related field</li><li>A minimum of five years experience in finance &amp; accounting, at least 2 years of management level</li><li>Well organized with good communication in verbal, written, and interpersonal &amp; organizational skills</li><li>Good communication in English for both written and speaking</li><li>Ownership, high commitment &amp; integrity</li><li>Organize tasks, set priorities, meet deadlines, and manage multiple tasks</li><li>Demonstrate good judgment and good problem-solving skills</li><li>Ability to work collaboratively internally</li><li>Working experiences at multinational companies (experience at a Japanese company is a big plus)</li></ul><p><br></p><p><strong>OUR BENEFITS</strong></p><p><em>Caring Mental &amp; Physical Recreation:</em></p><ul><li>Hybrid working: 2 days at the office and 3 days WFH</li><li>Working hour: Flexible start 8AM-9AM from Mon-Fri</li><li>Full salary in probation</li><li>Insurance: Applied from Probation period</li><li>Social Insurance, Health Insurance, Unemployment Insurance (on 100% salary)</li><li>Private health insurance &amp; accident insurance. From Managing level: extra for family members</li><li>Bonus: 13th month salary</li><li>16 - 24 paid days off and more</li><li>Paternity leave: Extra 5 days</li><li>Annual company trip; Quarterly team building</li><li>Billiards &amp; Running club</li><li>Annual health check</li><li>Well-equipped facility: Macbook pro, additional monitor,...</li></ul><p><em>Caring Career &amp; Development:</em></p><ul><li>Clear Career path</li><li>Foreign language &amp; International technology-related certifications sponsoring</li><li>External &amp; internal training courses</li><li>Soft-skill workshops</li><li>Tech seminars</li><li>Monthly and biannual Recognition Awards</li><li>Performance &amp; salary review: twice/year (Jun &amp; Dec)</li></ul>
        ",Full-time,Accounting/Auditing
